rank,region,team
1,South,Virginia
2,South,Cincinnati
3,South,Tennessee
4,South,Arizona
5,South,Kentucky
6,South,Miami (Fla.)
7,South,Nevada
8,South,Creighton
9,South,Kansas St.
10,South,Texas
11,South,Loyola-Chi.
12,South,Davidson
13,South,Buffalo
14,South,Wright St.
15,South,Georgia St.
16,South,UMBC
1,East,Villanova
2,East,Purdue
3,East,Texas Tech
4,East,Wichita St.
5,East,W. Virginia
6,East,Florida
7,East,Arkansas
8,East,Va. Tech
9,East,Alabama
10,East,Butler
11,East,STBON/UCLA
12,East,Murray St.
13,East,Marshall
14,East,SF Austin
15,East,CSFullerton
16,East,LIU/RAD
1,West,Xavier
2,West,N. Carolina
3,West,Michigan
4,West,Gonzaga
5,West,Ohio St.
6,West,Houston
7,West,Texas A&M
8,West,Missouri
9,West,Florida St.
10,West,Providence
11,West,San Diego St.
12,West,S. Dak. St.
13,West,UNC-Green.
14,West,Montana
15,West,Lipscomb
16,West,NCCU/TXSO
1,Midwest,Kansas
2,Midwest,Duke
3,Midwest,Michigan St.
4,Midwest,Auburn
5,Midwest,Clemson
6,Midwest,TCU
7,Midwest,Rhode Island
8,Midwest,Seton Hall
9,Midwest,NC State
10,Midwest,Oklahoma
11,Midwest,ASU/SYR
12,Midwest,New Mex. St.
13,Midwest,Charleston
14,Midwest,Bucknell
15,Midwest,Iona
16,Midwest,Penn
