"rank","region","team","group","owner","bid"
13,"Midwest","Charleston",1,,
10,"West","Providence",1,,
3,"South","Tennessee",1,,
11,"East","STBON/UCLA",1,,
9,"East","Alabama",1,,
1,"South","Virginia",1,,
15,"South","Georgia St.",1,,
14,"West","Montana",1,,
12,"Midwest","New Mex. St.",1,,
2,"West","N. Carolina",1,,
7,"West","Texas A&M",1,,
16,"East","LIU/RAD",1,,
6,"South","Miami (Fla.)",1,,
4,"West","Gonzaga",1,,
5,"East","W. Virginia",1,,
8,"West","Missouri",1,,
5,"Midwest","Clemson",2,,
3,"Midwest","Michigan St.",2,,
12,"East","Murray St.",2,,
10,"South","Texas",2,,
6,"West","Houston",2,,
15,"East","CSFullerton",2,,
13,"South","Buffalo",2,,
9,"Midwest","NC State",2,,
11,"South","Loyola-Chi.",2,,
7,"South","Nevada",2,,
14,"Midwest","Bucknell",2,,
8,"South","Creighton",2,,
4,"Midwest","Auburn",2,,
2,"South","Cincinnati",2,,
16,"South","UMBC",2,,
1,"Midwest","Kansas",2,,
14,"East","SF Austin",3,,
11,"West","San Diego St.",3,,
10,"Midwest","Oklahoma",3,,
3,"East","Texas Tech",3,,
8,"East","Va. Tech",3,,
13,"East","Marshall",3,,
15,"Midwest","Iona",3,,
2,"Midwest","Duke",3,,
9,"West","Florida St.",3,,
12,"South","Davidson",3,,
5,"South","Kentucky",3,,
1,"West","Xavier",3,,
4,"East","Wichita St.",3,,
6,"East","Florida",3,,
16,"West","NCCU/TXSO",3,,
7,"East","Arkansas",3,,
15,"West","Lipscomb",4,,
3,"West","Michigan",4,,
1,"East","Villanova",4,,
11,"Midwest","ASU/SYR",4,,
13,"West","UNC-Green.",4,,
7,"Midwest","Rhode Island",4,,
4,"South","Arizona",4,,
6,"Midwest","TCU",4,,
16,"Midwest","Penn",4,,
12,"West","S. Dak. St.",4,,
9,"South","Kansas St.",4,,
2,"East","Purdue",4,,
14,"South","Wright St.",4,,
8,"Midwest","Seton Hall",4,,
5,"West","Ohio St.",4,,
10,"East","Butler",4,,
