"rank","region","team","group","owner","bid"
12,"South","Davidson",1,,
7,"East","Arkansas",1,,
8,"Midwest","Seton Hall",1,,
16,"Midwest","Penn",1,,
13,"South","Buffalo",1,,
10,"South","Texas",1,,
15,"South","Georgia St.",1,,
2,"Midwest","Duke",1,,
11,"Midwest","ASU/SYR",1,,
6,"South","Miami (Fla.)",1,,
9,"West","Florida St.",1,,
14,"South","Wright St.",1,,
3,"East","Texas Tech",1,,
1,"South","Virginia",1,,
4,"Midwest","Auburn",1,,
5,"East","W. Virginia",1,,
6,"West","Houston",2,,
10,"West","Providence",2,,
15,"West","Lipscomb",2,,
5,"Midwest","Clemson",2,,
16,"South","UMBC",2,,
11,"West","San Diego St.",2,,
9,"Midwest","NC State",2,,
13,"Midwest","Charleston",2,,
3,"West","Michigan",2,,
7,"West","Texas A&M",2,,
2,"East","Purdue",2,,
4,"West","Gonzaga",2,,
8,"South","Creighton",2,,
12,"West","S. Dak. St.",2,,
1,"Midwest","Kansas",2,,
14,"East","SF Austin",2,,
12,"Midwest","New Mex. St.",3,,
16,"East","LIU/RAD",3,,
10,"Midwest","Oklahoma",3,,
6,"East","Florida",3,,
13,"East","Marshall",3,,
9,"South","Kansas St.",3,,
2,"South","Cincinnati",3,,
5,"South","Kentucky",3,,
4,"East","Wichita St.",3,,
11,"South","Loyola-Chi.",3,,
1,"East","Villanova",3,,
8,"East","Va. Tech",3,,
3,"Midwest","Michigan St.",3,,
14,"West","Montana",3,,
7,"South","Nevada",3,,
15,"Midwest","Iona",3,,
3,"South","Tennessee",4,,
12,"East","Murray St.",4,,
4,"South","Arizona",4,,
9,"East","Alabama",4,,
7,"Midwest","Rhode Island",4,,
1,"West","Xavier",4,,
13,"West","UNC-Green.",4,,
8,"West","Missouri",4,,
10,"East","Butler",4,,
14,"Midwest","Bucknell",4,,
15,"East","CSFullerton",4,,
6,"Midwest","TCU",4,,
11,"East","STBON/UCLA",4,,
5,"West","Ohio St.",4,,
16,"West","NCCU/TXSO",4,,
2,"West","N. Carolina",4,,
