"rank","region","logo","team","opponent","opponent_logo"
1,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png","Purdue Boilermakers","FDU/TX Southern",""
2,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/269.png","Marquette Golden Eagles","Vermont Catamounts","https://a.espncdn.com/i/teamlogos/ncaa/500/261.png"
3,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png","Kansas State Wildcats","Montana State Bobcats","https://a.espncdn.com/i/teamlogos/ncaa/500/147.png"
4,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png","Tennessee Volunteers","Louisiana Ragin' Cajuns","https://a.espncdn.com/i/teamlogos/ncaa/500/309.png"
5,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/150.png","Duke Blue Devils","Oral Roberts Golden Eagles","https://a.espncdn.com/i/teamlogos/ncaa/500/198.png"
6,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png","Kentucky Wildcats","Providence Friars","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png"
7,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/127.png","Michigan State Spartans","USC Trojans","https://a.espncdn.com/i/teamlogos/ncaa/500/30.png"
8,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/235.png","Memphis Tigers","Florida Atlantic Owls","https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png"
9,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","Florida Atlantic Owls","Memphis Tigers","https://a.espncdn.com/i/teamlogos/ncaa/500/235.png"
10,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/30.png","USC Trojans","Michigan State Spartans","https://a.espncdn.com/i/teamlogos/ncaa/500/127.png"
11,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png","Providence Friars","Kentucky Wildcats","https://a.espncdn.com/i/teamlogos/ncaa/500/96.png"
