"","rank","region","logo","team","opponent","opponent_logo"
"1",1,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/41.png","UConn Huskies","Stetson Hatters","https://a.espncdn.com/i/teamlogos/ncaa/500/56.png"
"2",2,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/66.png","Iowa State Cyclones","South Dakota State Jackrabbits","https://a.espncdn.com/i/teamlogos/ncaa/500/2571.png"
"3",3,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/356.png","Illinois Fighting Illini","Morehead State Eagles","https://a.espncdn.com/i/teamlogos/ncaa/500/2413.png"
"4",4,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2.png","Auburn Tigers","Yale Bulldogs","https://a.espncdn.com/i/teamlogos/ncaa/500/43.png"
"5",5,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/21.png","San Diego State Aztecs","UAB Blazers","https://a.espncdn.com/i/teamlogos/ncaa/500/5.png"
"6",6,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/252.png","BYU Cougars","Duquesne Dukes","https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png"
"7",7,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/265.png","Washington State Cougars","Drake Bulldogs","https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png"
"8",8,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png","Florida Atlantic Owls","Northwestern Wildcats","https://a.espncdn.com/i/teamlogos/ncaa/500/77.png"
"9",9,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/77.png","Northwestern Wildcats","Florida Atlantic Owls","https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png"
"10",10,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png","Drake Bulldogs","Washington State Cougars","https://a.espncdn.com/i/teamlogos/ncaa/500/265.png"
"11",11,"East","https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png","Duquesne Dukes","BYU Cougars","https://a.espncdn.com/i/teamlogos/ncaa/500/252.png"
